pays;region;iso3;continent;sous_region_onu;pays_source_en
Algérie;Africa;DZA;Africa;Northern Africa;Algeria
Angola;Africa;AGO;Africa;Middle Africa;Angola
Bénin;Africa;BEN;Africa;Western Africa;Benin
Botswana;Africa;BWA;Africa;Southern Africa;Botswana
Burkina Faso;Africa;BFA;Africa;Western Africa;Burkina Faso
Burundi;Africa;BDI;Africa;Eastern Africa;Burundi
Cap-Vert;Africa;CPV;Africa;Western Africa;Cabo Verde
Cameroun;Africa;CMR;Africa;Middle Africa;Cameroon
République centrafricaine;Africa;CAF;Africa;Middle Africa;Central African Republic
Tchad;Africa;TCD;Africa;Middle Africa;Chad
Comores;Africa;COM;Africa;Eastern Africa;Comoros
Congo-Brazzaville;Africa;COG;Africa;Middle Africa;Congo
Côte d’Ivoire;Africa;CIV;Africa;Western Africa;Côte d'Ivoire
Congo-Kinshasa;Africa;COD;Africa;Middle Africa;Democratic Republic of the Congo
Guinée équatoriale;Africa;GNQ;Africa;Middle Africa;Equatorial Guinea
Érythrée;Africa;ERI;Africa;Eastern Africa;Eritrea
Eswatini;Africa;SWZ;Africa;Southern Africa;Eswatini
Éthiopie;Africa;ETH;Africa;Eastern Africa;Ethiopia
Gabon;Africa;GAB;Africa;Middle Africa;Gabon
Gambie;Africa;GMB;Africa;Western Africa;Gambia
Ghana;Africa;GHA;Africa;Western Africa;Ghana
Guinée;Africa;GIN;Africa;Western Africa;Guinea
Guinée-Bissau;Africa;GNB;Africa;Western Africa;Guinea-Bissau
Kenya;Africa;KEN;Africa;Eastern Africa;Kenya
Lesotho;Africa;LSO;Africa;Southern Africa;Lesotho
Liberia;Africa;LBR;Africa;Western Africa;Liberia
Madagascar;Africa;MDG;Africa;Eastern Africa;Madagascar
Malawi;Africa;MWI;Africa;Eastern Africa;Malawi
Mali;Africa;MLI;Africa;Western Africa;Mali
Mauritanie;Africa;MRT;Africa;Western Africa;Mauritania
Maurice;Africa;MUS;Africa;Eastern Africa;Mauritius
Mayotte;Africa;MYT;Africa;Eastern Africa;Mayotte
Mozambique;Africa;MOZ;Africa;Eastern Africa;Mozambique
Namibie;Africa;NAM;Africa;Southern Africa;Namibia
Niger;Africa;NER;Africa;Western Africa;Niger
Nigeria;Africa;NGA;Africa;Western Africa;Nigeria
Rwanda;Africa;RWA;Africa;Eastern Africa;Rwanda
La Réunion;Africa;REU;Africa;Eastern Africa;Réunion
Sainte-Hélène;Africa;SHN;Africa;Western Africa;Saint Helena, Ascension and Tristan da Cunha
Sao Tomé-et-Principe;Africa;STP;Africa;Middle Africa;Sao Tome and Principe
Sénégal;Africa;SEN;Africa;Western Africa;Senegal
Seychelles;Africa;SYC;Africa;Eastern Africa;Seychelles
Sierra Leone;Africa;SLE;Africa;Western Africa;Sierra Leone
Afrique du Sud;Africa;ZAF;Africa;Southern Africa;South Africa
Soudan du Sud;Africa;SSD;Africa;Eastern Africa;South Sudan
Togo;Africa;TGO;Africa;Western Africa;Togo
Ouganda;Africa;UGA;Africa;Eastern Africa;Uganda
Tanzanie;Africa;TZA;Africa;Eastern Africa;United Republic of Tanzania
Sahara occidental;Africa;ESH;Africa;Northern Africa;Western Sahara
Zambie;Africa;ZMB;Africa;Eastern Africa;Zambia
Zimbabwe;Africa;ZWE;Africa;Eastern Africa;Zimbabwe
Anguilla;Americas;AIA;Americas;Caribbean;Anguilla
Antigua-et-Barbuda;Americas;ATG;Americas;Caribbean;Antigua and Barbuda
Argentine;Americas;ARG;Americas;South America;Argentina
Aruba;Americas;ABW;Americas;Caribbean;Aruba
Bahamas;Americas;BHS;Americas;Caribbean;Bahamas
Barbade;Americas;BRB;Americas;Caribbean;Barbados
Belize;Americas;BLZ;Americas;Central America;Belize
Bermudes;Americas;BMU;Americas;Northern America;Bermuda
Bolivie;Americas;BOL;Americas;South America;Bolivia (Plurinational State of)
Pays-Bas caribéens;Americas;BES;Americas;Caribbean;Bonaire, Sint Eustatius and Saba
Brésil;Americas;BRA;Americas;South America;Brazil
Îles Vierges britanniques;Americas;VGB;Americas;Caribbean;British Virgin Islands
Canada;Americas;CAN;Americas;Northern America;Canada
Îles Caïmans;Americas;CYM;Americas;Caribbean;Cayman Islands
Chili;Americas;CHL;Americas;South America;Chile
Colombie;Americas;COL;Americas;South America;Colombia
Costa Rica;Americas;CRI;Americas;Central America;Costa Rica
