country;region;year;population_total_people;population_rural_people;political_stability;basic_drinking_water_pct;safely_managed_drinking_water_pct;wash_mortality_rate_per_100k;wash_deaths;rural_share_pct;basic_minus_safe_gap_pct;risk_low_basic;risk_low_safe;risk_high_gap;risk_high_mortality;risk_low_stability;risk_high_rurality;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;gov_effectiveness_score
Afghanistan;Eastern Mediterranean;2016;35383032.0;25985093.0;-2.67;64.28648;;13.92067;4824.353;73.43941864563783;;0.4392548779407859;;;0.1377160907134377;0.8787878787878788;0.6759164954688633;43.486866639237206;13.771609071343772;75.25743546432811;Renforcer la gouvernance politique;0.8622839092865623;0.6428648;0.7525743546432812
Albania;Europe;2016;2886438.0;1216737.0;0.34;91.02037;69.98433;0.16641;4.86975;42.15358168095071;21.03604;0.1104441558185986;0.3143949229521815;0.3188243473062986;0.0015849662771553;0.3087121212121212;0.3879701354762981;16.648715233054766;25.33832301411173;95.43093668614223;Moderniser les services d'eau;0.9984150337228447;0.9102037;0.9543093668614223
Algeria;Africa;2016;40551392.0;11589537.0;-1.1;93.51585;;1.86723;758.21;28.579874644007287;;0.0797512569983568;;;0.0184186264714309;0.581439393939394;0.2630414165385589;11.9405147228686;1.8418626471430968;95.83699367642845;Renforcer la gouvernance politique;0.981581373528569;0.9351585;0.9583699367642845
American Samoa;Western Pacific;2016;55741.0;7118.0;1.19;;;;;12.769774492743224;;;;;;0.1477272727272728;0.1175295417943149;11.752954179431493;;;Renforcer la gouvernance politique;;;
Andorra;Europe;2016;77297.0;9082.0;1.41;100.0;90.64;;;11.749485749770368;9.36;1.2299396845438793e-07;0.0980400063977389;0.141861105549664;;0.1060606060606061;0.1081390808642772;4.325570614209195;11.721173727670614;;Moderniser les services d'eau;;1.0;
Angola;Africa;2016;28842489.0;10329860.0;-0.32;55.08428;;48.81467;14065.2;35.81473152334391;;0.5524363875195559;;;0.4830752344317939;0.4337121212121212;0.3296290774607696;46.82539062299795;48.3075234431794;53.3883782784103;Moderniser les services d'eau;0.5169247655682061;0.5508428;0.533883782784103
Anguilla;Americas;2016;14429.0;0.0;;;;;;0.0;;;;;;;0.0;0.0;;;Créer ou étendre les services d'eau;;;
Antigua and Barbuda;Americas;2016;94527.0;75878.0;0.88;96.73919;;0.11403;0.11513;80.27124525267912;;0.0401061191959147;;;0.0010665415637957;0.2064393939393939;0.7387947750500781;23.995282154413403;0.1066541563795783;98.31626792181021;Créer ou étendre les services d'eau;0.9989334584362042;0.9673919;0.9831626792181021
Argentina;Americas;2016;43508460.0;3671449.0;0.2;99.07838;;0.36294;159.1411;8.438471506461042;;0.0113354931074181;;;0.0035300981770512;0.3352272727272727;0.0776654035795502;2.928311751646602;0.3530098177051244;99.36268509114744;Renforcer la gouvernance politique;0.9964699018229488;0.9907838;0.9936268509114744
Armenia;Europe;2016;2936143.0;1079792.0;-0.66;99.89854;83.00597;0.17688;5.17336;36.77586548066631;16.892569999999992;0.0012480197971092;0.1780015822567698;0.2560254974118683;0.001688591835553;0.4981060606060606;0.3384750937840219;10.2526285002794;17.004735447681096;99.86484040822235;Renforcer la gouvernance politique;0.998311408164447;0.9989854;0.9986484040822234
Aruba;Americas;2016;104872.0;59547.0;;;;;;56.78064688382028;;;;;;;0.5225936773458716;52.25936773458716;;;Créer ou étendre les services d'eau;;;
Australia;Western Pacific;2016;24262712.0;3425805.0;1.05;99.96997;;0.09539;23.01346;14.119629330801931;;0.0003694738810008;;;0.000882054418759;0.1742424242424242;0.1299532396987716;3.937274876077165;0.0882054418759096;99.94088227906205;Renforcer la gouvernance politique;0.9991179455812409;0.9996997000000001;0.9994088227906205
Austria;Europe;2016;8747301.0;3667377.0;0.91;100.0;98.90781;0.12375;10.78108;41.92581231627904;1.0921900000000022;1.2299396845438793e-07;0.0114399908747379;0.0165533419733213;0.0011627440879243;0.2007575757575758;0.3858738080055306;11.60528837709261;1.1174214401879403;99.94186279560378;Créer ou étendre les services d'eau;0.9988372559120756;1.0;0.9994186279560378
Azerbaijan;Europe;2016;9736043.0;4374332.0;-0.8;90.71031;73.015;1.11988;108.9128;44.929259248341445;17.695310000000006;0.1142577068020583;0.2826505953678401;0.2681919059448746;0.0110218202566687;0.5246212121212122;0.413516719157128;17.822643887223187;22.3264299047568;94.80406398716656;Renforcer la gouvernance politique;0.9889781797433312;0.9071031;0.9480406398716656
Bahamas;Americas;2016;377930.0;67166.0;0.98;98.88696;;0.06853;0.26811;17.772074193633742;;0.0136898436500674;;;0.0006162108181321;0.1875;0.1635693518236621;5.538528789416203;0.0616210818132196;99.4126694590934;Renforcer la gouvernance politique;0.9993837891818678;0.9888696;0.994126694590934
Bahrain;Eastern Mediterranean;2016;1425792.0;155487.0;-0.79;100.0;98.98326;0.0396;0.56435;10.905307366011312;1.0167399999999986;1.2299396845438793e-07;0.0106497004385509;0.0154098141513424;0.0003298796429223;0.5227272727272727;0.1003694919265673;3.0193372835986603;1.0251776078902255;99.98350601785388;Renforcer la gouvernance politique;0.9996701203570776;1.0;0.9998350601785388
Bangladesh;South-East Asia;2016;157977153.0;105783530.0;-1.26;96.88253;55.49126;11.94467;19464.03;66.9612839522434;41.391270000000006;0.038343123653216;0.4662005506789847;0.6273302694769919;0.1181588697589047;0.6117424242424243;0.616293500354175;23.168217318992586;45.29876160742712;92.53332151205475;Moderniser les services d'eau;0.8818411302410952;0.9688253;0.9253332151205476
Barbados;Americas;2016;285796.0;196098.0;0.98;98.48444;;0.16462;0.46915;68.61467620260605;;0.0186405968651296;;;0.0015672499686995;0.1875;0.6315108742946327;19.8233343369873;0.1567249968699539;99.16385750156502;Créer ou étendre les services d'eau;0.9984327500313005;0.9848444000000001;0.9916385750156502
