pays;iso3;region;continent;sous_region_onu;annee;population_totale;population_rurale;stabilite_politique;acces_eau_potable_pct;service_safely_managed_pct;mortalite_wash_pour_100k;deces_wash;part_rurale_pct;ecart_basique_safely_managed_pct;risque_faible_acces_basique;risque_faible_acces_safely_managed;risque_ecart_qualite_eleve;risque_mortalite_elevee;risque_faible_stabilite;risque_ruralite_elevee;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;score_effectivite_gouvernementale;pays_source_en
Afghanistan;AFG;Eastern Mediterranean;Asia;Southern Asia;2016;35383032;25985093;-2.67;64.28648;;13.92067;4824.353;73.43941864563783;;0.4392548779407859;;;0.1377160907134377;0.8787878787878788;0.6759164954688633;43.486866639237206;13.771609071343772;75.25743546432811;Renforcer la gouvernance politique;0.8622839092865623;0.6428648;0.7525743546432812;Afghanistan
Albanie;ALB;Europe;Europe;Southern Europe;2016;2886438;1216737;0.34;91.02037;69.98433;0.16641;4.86975;42.15358168095071;21.03604;0.1104441558185986;0.3143949229521815;0.3188243473062986;0.0015849662771553;0.3087121212121212;0.3879701354762981;16.648715233054766;25.33832301411173;95.43093668614225;Moderniser les services d'eau;0.9984150337228448;0.9102037;0.9543093668614224;Albania
Algérie;DZA;Africa;Africa;Northern Africa;2016;40551392;11589537;-1.1;93.51585;;1.86723;758.21;28.579874644007287;;0.0797512569983568;;;0.0184186264714309;0.581439393939394;0.2630414165385589;11.9405147228686;1.8418626471430968;95.83699367642843;Renforcer la gouvernance politique;0.981581373528569;0.9351585;0.9583699367642844;Algeria
Samoa américaines;ASM;Western Pacific;Oceania;Polynesia;2016;55741;7118;1.19;;;;;12.769774492743224;;;;;;0.1477272727272728;0.1175295417943149;11.752954179431493;;;Renforcer la gouvernance politique;;;;American Samoa
Andorre;AND;Europe;Europe;Southern Europe;2016;77297;9082;1.41;100.0;90.64;;;11.749485749770368;9.36;1.2299396845438793e-07;0.0980400063977389;0.141861105549664;;0.1060606060606061;0.1081390808642772;4.325570614209195;11.721173727670614;;Moderniser les services d'eau;;1.0;;Andorra
Angola;AGO;Africa;Africa;Middle Africa;2016;28842489;10329860;-0.32;55.08428;;48.81467;14065.2;35.81473152334391;;0.5524363875195559;;;0.4830752344317939;0.4337121212121212;0.3296290774607696;46.82539062299795;48.3075234431794;53.3883782784103;Moderniser les services d'eau;0.5169247655682061;0.5508428;0.533883782784103;Angola
Anguilla;AIA;Americas;Americas;Caribbean;2016;14429;0;;;;;;0.0;;;;;;;0.0;0.0;;;Créer ou étendre les services d'eau;;;;Anguilla
Antigua-et-Barbuda;ATG;Americas;Americas;Caribbean;2016;94527;75878;0.88;96.73919;;0.11403;0.11513;80.27124525267912;;0.0401061191959147;;;0.0010665415637957;0.2064393939393939;0.7387947750500781;23.995282154413403;0.1066541563795783;98.3162679218102;Créer ou étendre les services d'eau;0.9989334584362042;0.9673919;0.983162679218102;Antigua and Barbuda
Argentine;ARG;Americas;Americas;South America;2016;43508460;3671449;0.2;99.07838;;0.36294;159.1411;8.438471506461042;;0.0113354931074181;;;0.0035300981770512;0.3352272727272727;0.0776654035795502;2.928311751646602;0.3530098177051244;99.36268509114744;Renforcer la gouvernance politique;0.9964699018229488;0.9907838;0.9936268509114744;Argentina
Arménie;ARM;Europe;Asia;Western Asia;2016;2936143;1079792;-0.66;99.89854;83.00597;0.17688;5.17336;36.77586548066631;16.892569999999992;0.0012480197971092;0.1780015822567698;0.2560254974118683;0.001688591835553;0.4981060606060606;0.3384750937840219;10.2526285002794;17.004735447681096;99.86484040822236;Renforcer la gouvernance politique;0.998311408164447;0.9989854;0.9986484040822234;Armenia
Aruba;ABW;Americas;Americas;Caribbean;2016;104872;59547;;;;;;56.78064688382028;;;;;;;0.5225936773458716;52.25936773458716;;;Créer ou étendre les services d'eau;;;;Aruba
