Country,Region,pays_fr,pays_en,code_iso3,region_oms,continent,sous_region_onu
albania,Europe,Albanie,Albania,ALB,Europe,Europe,Southern Europe
andorra,Europe,Andorre,Andorra,AND,Europe,Europe,Southern Europe
armenia,Europe,Arménie,Armenia,ARM,Europe,Asia,Western Asia
australia,Western Pacific,Australie,Australia,AUS,Western Pacific,Oceania,Australia and New Zealand
austria,Europe,Autriche,Austria,AUT,Europe,Europe,Western Europe
azerbaijan,Europe,Azerbaïdjan,Azerbaijan,AZE,Europe,Asia,Western Asia
bahrain,Eastern Mediterranean,Bahreïn,Bahrain,BHR,Eastern Mediterranean,Asia,Western Asia
belarus,Europe,Biélorussie,Belarus,BLR,Europe,Europe,Eastern Europe
belgium,Europe,Belgique,Belgium,BEL,Europe,Europe,Western Europe
bhutan,South-East Asia,Bhoutan,Bhutan,BTN,South-East Asia,Asia,Southern Asia
bosnia and herzegovina,Europe,Bosnie-Herzégovine,Bosnia and Herzegovina,BIH,Europe,Europe,Southern Europe
brazil,Americas,Brésil,Brazil,BRA,Americas,Americas,South America
bulgaria,Europe,Bulgarie,Bulgaria,BGR,Europe,Europe,Eastern Europe
cambodia,Western Pacific,Cambodge,Cambodia,KHM,Western Pacific,Asia,South-eastern Asia
chile,Americas,Chili,Chile,CHL,Americas,Americas,South America
china,Western Pacific,,,,,,
colombia,Americas,Colombie,Colombia,COL,Americas,Americas,South America
congo,Africa,Congo-Brazzaville,Congo,COG,Africa,Africa,Middle Africa
croatia,Europe,Croatie,Croatia,HRV,Europe,Europe,Southern Europe
cyprus,Europe,Chypre,Cyprus,CYP,Europe,Asia,Western Asia
czechia,Europe,Tchéquie,Czechia,CZE,Europe,Europe,Eastern Europe
cote divoire,Africa,Côte d’Ivoire,Côte d'Ivoire,CIV,Africa,Africa,Western Africa
democratic people's republic of korea,South-East Asia,Corée du Nord,Democratic People's Republic of Korea,PRK,South-East Asia,Asia,Eastern Asia
denmark,Europe,Danemark,Denmark,DNK,Europe,Europe,Northern Europe
ecuador,Americas,Équateur,Ecuador,ECU,Americas,Americas,South America
el salvador,Americas,Salvador,El Salvador,SLV,Americas,Americas,Central America
estonia,Europe,Estonie,Estonia,EST,Europe,Europe,Northern Europe
ethiopia,Africa,Éthiopie,Ethiopia,ETH,Africa,Africa,Eastern Africa
finland,Europe,Finlande,Finland,FIN,Europe,Europe,Northern Europe
gambia,Africa,Gambie,Gambia,GMB,Africa,Africa,Western Africa
georgia,Europe,Géorgie,Georgia,GEO,Europe,Asia,Western Asia
germany,Europe,Allemagne,Germany,DEU,Europe,Europe,Western Europe
greece,Europe,Grèce,Greece,GRC,Europe,Europe,Southern Europe
grenada,Americas,Grenade,Grenada,GRD,Americas,Americas,Caribbean
hungary,Europe,Hongrie,Hungary,HUN,Europe,Europe,Eastern Europe
iceland,Europe,Islande,Iceland,ISL,Europe,Europe,Northern Europe
india,South-East Asia,Inde,India,IND,South-East Asia,Asia,Southern Asia
iran (islamic republic of),Eastern Mediterranean,Iran,Iran (Islamic Republic of),IRN,Eastern Mediterranean,Asia,Southern Asia
iraq,Eastern Mediterranean,Irak,Iraq,IRQ,Eastern Mediterranean,Asia,Western Asia
ireland,Europe,Irlande,Ireland,IRL,Europe,Europe,Northern Europe
israel,Europe,Israël,Israel,ISR,Europe,Asia,Western Asia
italy,Europe,Italie,Italy,ITA,Europe,Europe,Southern Europe
japan,Western Pacific,Japon,Japan,JPN,Western Pacific,Asia,Eastern Asia
jordan,Eastern Mediterranean,Jordanie,Jordan,JOR,Eastern Mediterranean,Asia,Western Asia
kuwait,Eastern Mediterranean,Koweït,Kuwait,KWT,Eastern Mediterranean,Asia,Western Asia
kyrgyzstan,Europe,Kirghizstan,Kyrgyzstan,KGZ,Europe,Asia,Central Asia
lao people's democratic republic,Western Pacific,Laos,Lao People's Democratic Republic,LAO,Western Pacific,Asia,South-eastern Asia
latvia,Europe,Lettonie,Latvia,LVA,Europe,Europe,Northern Europe
lebanon,Eastern Mediterranean,Liban,Lebanon,LBN,Eastern Mediterranean,Asia,Western Asia
lithuania,Europe,Lituanie,Lithuania,LTU,Europe,Europe,Northern Europe
malaysia,Western Pacific,Malaisie,Malaysia,MYS,Western Pacific,Asia,South-eastern Asia
malta,Europe,Malte,Malta,MLT,Europe,Europe,Southern Europe
mexico,Americas,Mexique,Mexico,MEX,Americas,Americas,Central America
mongolia,Western Pacific,Mongolie,Mongolia,MNG,Western Pacific,Asia,Eastern Asia
montenegro,Europe,Monténégro,Montenegro,MNE,Europe,Europe,Southern Europe
morocco,Eastern Mediterranean,Maroc,Morocco,MAR,Eastern Mediterranean,Africa,Northern Africa
nepal,South-East Asia,Népal,Nepal,NPL,South-East Asia,Asia,Southern Asia
netherlands,Europe,Pays-Bas,Netherlands,NLD,Europe,Europe,Western Europe
new zealand,Western Pacific,Nouvelle-Zélande,New Zealand,NZL,Western Pacific,Oceania,Australia and New Zealand
