"cle_pays";"iso3";"pays";"region";"continent";"sous_region_onu";"pays_source_en"
"1";"BDI";"Burundi";"Africa";"Africa";"Eastern Africa";"Burundi"
"2";"COM";"Comores";"Africa";"Africa";"Eastern Africa";"Comoros"
"3";"DJI";"Djibouti";"Eastern Mediterranean";"Africa";"Eastern Africa";"Djibouti"
"4";"KEN";"Kenya";"Africa";"Africa";"Eastern Africa";"Kenya"
"5";"REU";"La Réunion";"Africa";"Africa";"Eastern Africa";"Réunion"
"6";"MDG";"Madagascar";"Africa";"Africa";"Eastern Africa";"Madagascar"
"7";"MWI";"Malawi";"Africa";"Africa";"Eastern Africa";"Malawi"
"8";"MUS";"Maurice";"Africa";"Africa";"Eastern Africa";"Mauritius"
"9";"MYT";"Mayotte";"Africa";"Africa";"Eastern Africa";"Mayotte"
"10";"MOZ";"Mozambique";"Africa";"Africa";"Eastern Africa";"Mozambique"
"11";"UGA";"Ouganda";"Africa";"Africa";"Eastern Africa";"Uganda"
"12";"RWA";"Rwanda";"Africa";"Africa";"Eastern Africa";"Rwanda"
"13";"SYC";"Seychelles";"Africa";"Africa";"Eastern Africa";"Seychelles"
"14";"SOM";"Somalie";"Eastern Mediterranean";"Africa";"Eastern Africa";"Somalia"
"15";"SSD";"Soudan du Sud";"Africa";"Africa";"Eastern Africa";"South Sudan"
"16";"TZA";"Tanzanie";"Africa";"Africa";"Eastern Africa";"United Republic of Tanzania"
"17";"ZMB";"Zambie";"Africa";"Africa";"Eastern Africa";"Zambia"
"18";"ZWE";"Zimbabwe";"Africa";"Africa";"Eastern Africa";"Zimbabwe"
"19";"ERI";"Érythrée";"Africa";"Africa";"Eastern Africa";"Eritrea"
"20";"ETH";"Éthiopie";"Africa";"Africa";"Eastern Africa";"Ethiopia"
"21";"AGO";"Angola";"Africa";"Africa";"Middle Africa";"Angola"
"22";"CMR";"Cameroun";"Africa";"Africa";"Middle Africa";"Cameroon"
"23";"COG";"Congo-Brazzaville";"Africa";"Africa";"Middle Africa";"Congo"
"24";"COD";"Congo-Kinshasa";"Africa";"Africa";"Middle Africa";"Democratic Republic of the Congo"
"25";"GAB";"Gabon";"Africa";"Africa";"Middle Africa";"Gabon"
"26";"GNQ";"Guinée équatoriale";"Africa";"Africa";"Middle Africa";"Equatorial Guinea"
"27";"CAF";"République centrafricaine";"Africa";"Africa";"Middle Africa";"Central African Republic"
"28";"STP";"Sao Tomé-et-Principe";"Africa";"Africa";"Middle Africa";"Sao Tome and Principe"
"29";"TCD";"Tchad";"Africa";"Africa";"Middle Africa";"Chad"
"30";"DZA";"Algérie";"Africa";"Africa";"Northern Africa";"Algeria"
"31";"LBY";"Libye";"Eastern Mediterranean";"Africa";"Northern Africa";"Libya"
